ARO_Term	Drug_Class	All_Mapped_Reads	Average_Percent_Coverage
Pseudomonas aeruginosa CpxR	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic	145.00	86.14
GOB-11	carbapenem; cephalosporin; penicillin beta-lactam	1.00	10.69
tetA(46)	tetracycline antibiotic	5.00	16.52
OpmB	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	27.00	60.86
OXA-373	carbapenem; penicillin beta-lactam	22.00	42.91
adeL	fluoroquinolone antibiotic; tetracycline antibiotic	2.00	29.68
Escherichia coli emrE	macrolide antibiotic	5.00	85.89
Klebsiella pneumoniae acrA	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	14.00	83.29
aphA15	aminoglycoside antibiotic	2.00	35.09
Enterobacter cloacae acrA	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	5.00	42.46
tva(A)	pleuromutilin antibiotic	5.00	23.32
OXA-443	cephalosporin; penicillin beta-lactam	13.00	28.26
OXA-448	penicillin beta-lactam	17.00	19.01
floR	phenicol antibiotic	12.00	90.29
aadS	aminoglycoside antibiotic	255.00	100.00
Pseudomonas aeruginosa emrE	aminoglycoside antibiotic	10.00	94.29
Escherichia coli acrA	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	6.00	37.94
OprM	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	108.00	65.71
BRO-1	penicillin beta-lactam	1.00	2.87
PmpM	fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics	10.00	37.24
MuxC	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	280.00	69.98
ANT(3'')-IIa	aminoglycoside antibiotic	3.00	44.23
QepA2	fluoroquinolone antibiotic	26.00	49.22
MuxB	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	670.00	94.22
ANT(3'')-IIb	aminoglycoside antibiotic	40.00	12.25
ANT(3'')-IIc	aminoglycoside antibiotic	18.00	84.03
BRO-2	penicillin beta-lactam	12.00	62.33
OprZ	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	88.00	58.91
BRP(MBL)	glycopeptide antibiotic	4.00	21.58
NPS-1	cephalosporin; penicillin beta-lactam	1.00	18.90
rpoB2	rifamycin antibiotic	369.00	72.00
lnuG	lincosamide antibiotic	4.00	30.35
MexF	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	375.00	99.59
ADC-15	cephalosporin	4.00	15.97
FosA6	phosphonic acid antibiotic	9.00	80.00
tet(W/N/W)	tetracycline antibiotic	6.00	26.98
Agrobacterium fabrum chloramphenicol acetyltransferase	phenicol antibiotic	1.00	4.44
Enterococcus faecium chloramphenicol acetyltransferase	phenicol antibiotic	7.00	13.12
Staphylococcus intermedius chloramphenicol acetyltransferase	phenicol antibiotic	37.00	13.89
poxtA	tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic	79.00	20.38
CGA-1	penicillin beta-lactam	10.00	20.71
OXA-459	penicillin beta-lactam	2.00	2.05
BKC-1	carbapenem	7.00	71.34
cfrC	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic	5.00	60.68
sul4	sulfonamide antibiotic	4.00	36.34
AxyY	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	393.00	60.74
Escherichia coli mdfA	tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	20.00	87.19
BAT-1	cephalosporin	1.00	3.72
mphH	macrolide antibiotic	4.00	7.25
OXA-274	carbapenem; penicillin beta-lactam	2.00	27.78
OXA-279	penicillin beta-lactam	2.00	35.95
OXA-280	carbapenem; penicillin beta-lactam	71.00	97.58
CME-1	penicillin beta-lactam	3.00	4.39
GOB-8	carbapenem; cephalosporin; penicillin beta-lactam	1.00	3.09
Klebsiella pneumoniae OmpK37	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	48.00	89.60
OXA-281	carbapenem; penicillin beta-lactam	17.00	73.94
EBR-2	carbapenem; cephalosporin; penicillin beta-lactam	52.00	100.00
mphE	macrolide antibiotic	2232.00	100.00
Klebsiella pneumoniae KpnE	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	26.00	87.60
