sample	Resistance_Mechanism	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
2022_SRR28226418	antibiotic efflux	125	13	0.104	13	0.104
2022_SRR28226418	antibiotic inactivation	64	12	0.1875	12	0.1875
2022_SRR28226418	antibiotic target alteration	180	6	0.03333333333333333	5	0.027777777777777776
2022_SRR28226418	antibiotic target protection	17	3	0.17647058823529413	3	0.17647058823529413
2022_SRR28226418	antibiotic target replacement	2	0	0.0	0	0.0
2023_SRR37365438	antibiotic efflux	162	36	0.2222222222222222	36	0.2222222222222222
2023_SRR37365438	antibiotic inactivation	63	15	0.23809523809523808	15	0.23809523809523808
2023_SRR37365438	antibiotic target alteration	166	9	0.05421686746987952	6	0.03614457831325301
2023_SRR37365438	antibiotic target protection	24	4	0.16666666666666666	3	0.125
2023_SRR37365438	antibiotic target replacement	8	3	0.375	3	0.375
2023_SRR37365438	reduced permeability to antibiotic	3	2	0.6666666666666666	2	0.6666666666666666
2024_ERR17001293	antibiotic efflux	92	16	0.17391304347826086	15	0.16304347826086957
2024_ERR17001293	antibiotic inactivation	40	14	0.35	14	0.35
2024_ERR17001293	antibiotic target alteration	185	3	0.016216216216216217	3	0.016216216216216217
2024_ERR17001293	antibiotic target protection	18	2	0.1111111111111111	2	0.1111111111111111
2024_ERR17001293	antibiotic target replacement	3	2	0.6666666666666666	2	0.6666666666666666
2024_ERR17001293	reduced permeability to antibiotic	2	0	0.0	0	0.0
2025_ERR17359858	antibiotic efflux	3	0	0.0	0	0.0
2025_ERR17359858	antibiotic inactivation	6	2	0.3333333333333333	2	0.3333333333333333
2025_ERR17359858	antibiotic target alteration	3	1	0.3333333333333333	1	0.3333333333333333
2025_ERR17359858	antibiotic target protection	3	0	0.0	0	0.0
ERR1713331	antibiotic efflux	85	85	1.0	42	0.49411764705882355
ERR1713331	antibiotic inactivation	42	42	1.0	35	0.8333333333333334
ERR1713331	antibiotic target alteration	90	90	1.0	24	0.26666666666666666
ERR1713331	antibiotic target protection	12	12	1.0	9	0.75
ERR1713331	antibiotic target replacement	2	2	1.0	1	0.5
ERR1713331	reduced permeability to antibiotic	1	1	1.0	1	1.0
ERR1713332	antibiotic efflux	24	24	1.0	11	0.4583333333333333
ERR1713332	antibiotic inactivation	28	28	1.0	18	0.6428571428571429
ERR1713332	antibiotic target alteration	28	28	1.0	5	0.17857142857142858
ERR1713332	antibiotic target protection	3	3	1.0	2	0.6666666666666666
ERR1713334	antibiotic efflux	54	54	1.0	35	0.6481481481481481
ERR1713334	antibiotic inactivation	23	23	1.0	16	0.6956521739130435
ERR1713334	antibiotic target alteration	95	95	1.0	32	0.3368421052631579
ERR1713334	antibiotic target protection	11	11	1.0	10	0.9090909090909091
ERR1713334	reduced permeability to antibiotic	2	2	1.0	1	0.5
ERR1713335	antibiotic efflux	51	51	1.0	25	0.49019607843137253
ERR1713335	antibiotic inactivation	40	40	1.0	32	0.8
ERR1713335	antibiotic target alteration	47	47	1.0	13	0.2765957446808511
ERR1713335	antibiotic target protection	9	9	1.0	6	0.6666666666666666
ERR1713335	reduced permeability to antibiotic	1	1	1.0	1	1.0
ERR1713337	antibiotic efflux	54	54	1.0	20	0.37037037037037035
