sample	Best_Hit_ARO	ARO	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
2018_SRR13208892	lnuB	3002836	1	0	0.0	0	0.0
2018_SRR13208892	lnuC	3002837	1	0	0.0	0	0.0
2018_SRR13208892	mefJ	3007049	1	0	0.0	0	0.0
2018_SRR13208892	mphA	3000316	1	1	1.0	1	1.0
2018_SRR13208892	mphE	3003741	1	0	0.0	0	0.0
2018_SRR13208892	mphG	3003742	1	0	0.0	0	0.0
2018_SRR13208892	msrE	3003109	1	0	0.0	0	0.0
2018_SRR13208892	qacEdelta1	3005010	1	1	1.0	1	1.0
2018_SRR13208892	qacG	3007015	12	1	0.08333333333333333	1	0.08333333333333333
2018_SRR13208892	qacJ	3007014	12	2	0.16666666666666666	2	0.16666666666666666
2018_SRR13208892	qacL	3005098	2	1	0.5	1	0.5
2018_SRR13208892	rsmA	3005069	3	0	0.0	0	0.0
2018_SRR13208892	sul1	3000410	1	1	1.0	1	1.0
2018_SRR13208892	tet(32)	3000196	1	0	0.0	0	0.0
2018_SRR13208892	tet(39)	3000566	1	1	1.0	1	1.0
2018_SRR13208892	tet(40)	3000567	1	0	0.0	0	0.0
2018_SRR13208892	tet(44)	3000556	1	0	0.0	0	0.0
2018_SRR13208892	tet(C)	3000167	1	0	0.0	0	0.0
2018_SRR13208892	tet(M)	3000186	1	0	0.0	0	0.0
2018_SRR13208892	tet(O)	3000190	2	0	0.0	0	0.0
2018_SRR13208892	tet(Q)	3000191	2	0	0.0	0	0.0
2018_SRR13208892	tet(S)	3000192	1	0	0.0	0	0.0
2018_SRR13208892	tet(X)	3000205	1	0	0.0	0	0.0
2018_SRR13208892	tet(X1)	3005166	1	0	0.0	0	0.0
2018_SRR13208892	vanG	3002909	1	0	0.0	0	0.0
2018_SRR13208892	vanH gene in vanA cluster	3002942	1	0	0.0	0	0.0
2018_SRR13208892	vanT gene in vanG cluster	3002972	19	0	0.0	0	0.0
2018_SRR13208892	vanU gene in vanG cluster	3004253	1	0	0.0	0	0.0
2018_SRR13208892	vanW gene in vanG cluster	3002965	6	0	0.0	0	0.0
2018_SRR13208892	vanW gene in vanI cluster	3003724	7	0	0.0	0	0.0
2018_SRR13208892	vanY gene in vanA cluster	3002955	2	0	0.0	0	0.0
2018_SRR13208892	vanY gene in vanB cluster	3002956	6	0	0.0	0	0.0
2018_SRR13208892	vanY gene in vanG cluster	3002959	1	0	0.0	0	0.0
2018_SRR13208892	vanY gene in vanM cluster	3002961	1	0	0.0	0	0.0
2019_SRR28226461	AAC(3)-IId	3004623	1	1	1.0	1	1.0
2019_SRR28226461	AAC(6')-IIa	3002594	1	0	0.0	0	0.0
2019_SRR28226461	AAC(6')-Ib9	3002580	1	0	0.0	0	0.0
2019_SRR28226461	ACT-8	3001831	1	0	0.0	0	0.0
2019_SRR28226461	ANT(2'')-Ia	3000230	1	1	1.0	1	1.0
2019_SRR28226461	ANT(3'')-IIc	3004091	1	0	0.0	0	0.0
2019_SRR28226461	APH(3'')-Ib	3002639	1	1	1.0	1	1.0
2019_SRR28226461	APH(3')-IIIa	3002647	1	0	0.0	0	0.0
2019_SRR28226461	APH(3')-VIa	3002652	1	0	0.0	0	0.0
2019_SRR28226461	APH(6)-Id	3002660	1	1	1.0	1	1.0
2019_SRR28226461	Acinetobacter baumannii AbaF	3004573	1	0	0.0	0	0.0
2019_SRR28226461	ArnT	3005053	8	0	0.0	0	0.0
2019_SRR28226461	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	1	0	0.0	0	0.0
2019_SRR28226461	CRP	3000518	4	0	0.0	0	0.0
2019_SRR28226461	CTX-M-3	3001866	1	0	0.0	0	0.0
2019_SRR28226461	Campylobacter coli chloramphenicol acetyltransferase	3004454	1	1	1.0	1	1.0
2019_SRR28226461	CblA-1	3002999	1	0	0.0	0	0.0
2019_SRR28226461	CfxA2	3003002	1	1	1.0	1	1.0
2019_SRR28226461	CfxA6	3003097	1	0	0.0	0	0.0
2019_SRR28226461	EC-15	3006876	1	0	0.0	0	0.0
2019_SRR28226461	EreA2	3002826	1	0	0.0	0	0.0
2019_SRR28226461	EreD	3004608	2	0	0.0	0	0.0
2019_SRR28226461	ErmB	3000375	1	1	1.0	1	1.0
2019_SRR28226461	ErmG	3000522	1	0	0.0	0	0.0
2019_SRR28226461	ErmX	3000596	1	0	0.0	0	0.0
2019_SRR28226461	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	3003378	3	0	0.0	0	0.0
2019_SRR28226461	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	3	0	0.0	0	0.0
