sample	common_class	ARG_loci	ARG_present	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction	virus_ARG_loci	virus_ARG_fraction	chromosome_ARG_loci	chromosome_ARG_fraction	ARG_locus_fraction
ERR1713344	Fosfomycin	2	1	2	1.0	1	0.5	0	0.0	1	0.5	0.014705882352941176
ERR1713344	MLS	23	1	23	1.0	19	0.8260869565217391	3	0.13043478260869565	1	0.043478260869565216	0.16911764705882354
ERR1713344	Phenicol	8	1	8	1.0	3	0.375	0	0.0	5	0.625	0.058823529411764705
ERR1713344	Quinolone	30	1	30	1.0	10	0.3333333333333333	0	0.0	20	0.6666666666666666	0.22058823529411764
ERR1713344	Rifamycin	4	1	4	1.0	2	0.5	0	0.0	2	0.5	0.029411764705882353
ERR1713344	Sulfonamide	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.007352941176470588
ERR1713344	Tetracycline	43	1	43	1.0	20	0.46511627906976744	4	0.09302325581395349	19	0.4418604651162791	0.3161764705882353
ERR1713344	Trimethoprim	3	1	3	1.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0.022058823529411766
ERR1713346	Aminoglycoside	10	1	3	0.3	3	0.3	0	0.0	7	0.7	0.06289308176100629
ERR1713346	Beta-lactam	28	1	4	0.14285714285714285	3	0.10714285714285714	1	0.03571428571428571	24	0.8571428571428571	0.1761006289308176
ERR1713346	Fosfomycin	2	1	0	0.0	0	0.0	0	0.0	2	1.0	0.012578616352201259
ERR1713346	MLS	25	1	1	0.04	1	0.04	0	0.0	24	0.96	0.15723270440251572
ERR1713346	Phenicol	13	1	3	0.23076923076923078	3	0.23076923076923078	0	0.0	10	0.7692307692307693	0.08176100628930817
ERR1713346	Quinolone	32	1	6	0.1875	6	0.1875	0	0.0	26	0.8125	0.20125786163522014
ERR1713346	Rifamycin	11	1	2	0.18181818181818182	2	0.18181818181818182	0	0.0	9	0.8181818181818182	0.06918238993710692
ERR1713346	Sulfonamide	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.006289308176100629
ERR1713346	Tetracycline	33	1	5	0.15151515151515152	5	0.15151515151515152	0	0.0	28	0.8484848484848485	0.20754716981132076
ERR1713346	Trimethoprim	4	1	1	0.25	1	0.25	0	0.0	3	0.75	0.025157232704402517
