sample_id	stage	relative_path	file_name	bytes	sha256	status
ERR1713385	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713385/ERR1713385_strict_perfect_sample_summary.tsv	ERR1713385_strict_perfect_sample_summary.tsv	344	4a89f6817cf6f3f8c00922c6921350d123a7c020a8c276b4418e54fde3f026c1	PASS
ERR1713386	FASTP	FASTP/ERR1713386/ERR1713386.fastp.json	ERR1713386.fastp.json	143182	dd8ea4ecfa3c247601b7aafa28fd87c48f57123c572ee83f73a9b1620613cc8f	PASS
ERR1713386	Bowtie2	Bowtie2/ERR1713386/ERR1713386.bowtie2.log	ERR1713386.bowtie2.log	630	ede9fa3fd0fac80bba1a390ffb504102d884eb80d245845f2343cad43d6edd7b	PASS
ERR1713386	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713386/ERR1713386_rgi_bwt.gene_mapping_data.txt	ERR1713386_rgi_bwt.gene_mapping_data.txt	235393	c3b525ca90b6e6af974fca85e7eab3b32027d52059f24da3c61598b9a3c08ba9	PASS
ERR1713386	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713386/ERR1713386_rgi_bwt.overall_mapping_stats.txt	ERR1713386_rgi_bwt.overall_mapping_stats.txt	522	70e457566a36dd45b1785b9bc797916660c9d1304f49dd5d28121d279866b50f	PASS
ERR1713386	CARD_RGI_Main	CARD_RGI_Main/ERR1713386/ERR1713386_rgi_main_compact.tsv	ERR1713386_rgi_main_compact.tsv	149799	c1fc8ca4d202099c1047d066f21e24b8ac7b621b39e15ccd77876904baf7e9b8	PASS
ERR1713386	DIAMOND_CARD	DIAMOND_CARD/ERR1713386/ERR1713386_diamond_card_merged.tsv.gz	ERR1713386_diamond_card_merged.tsv.gz	9134028	9bdb24d95ef82e84bd2d68c0cbac6bd4f71331aa9fbc501e658137a459c350ce	PASS
ERR1713386	geNomAD	geNomAD/ERR1713386/ERR1713386.contigs_plasmid_summary.tsv	ERR1713386.contigs_plasmid_summary.tsv	324941	af297889bca803200d5cb0f50cc8c0e06073862342b3489e7b5c08caf71729dd	PASS
ERR1713386	geNomAD	geNomAD/ERR1713386/ERR1713386.contigs_virus_summary.tsv	ERR1713386.contigs_virus_summary.tsv	762982	8275e7882fcf70fc65cfaa5a8a3df888246b056b2e1954a8e9294c7cf19b0da8	PASS
ERR1713386	Assembly	Assembly/ERR1713386/ERR1713386_assembly_metrics.tsv	ERR1713386_assembly_metrics.tsv	233	272de5161afdb383ecf26b98dfc85957b4ace057ec16c671780c52ead65ab4aa	PASS
ERR1713386	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713386/ERR1713386_drug_class_summary.tsv	ERR1713386_drug_class_summary.tsv	1759	de4e077d2c428e9ab7813ddb46806501dc7fd3bea6d36ef315fdf7969e335dd3	PASS
ERR1713386	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713386/ERR1713386_sample_summary.tsv	ERR1713386_sample_summary.tsv	374	4a4624d034433126c33584b9de25a4ffc8f656877227b6cb28bcdb93ad52a353	PASS
ERR1713386	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713386/ERR1713386_strict_perfect_overlap.tsv	ERR1713386_strict_perfect_overlap.tsv	137865	9723a8918fbe8b0c6ed32f407966f61e9f0edf9046fb89fae9387cf280e907c6	PASS
ERR1713386	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713386/ERR1713386_strict_perfect_sample_summary.tsv	ERR1713386_strict_perfect_sample_summary.tsv	344	b87c307ae6fe8c900fdecc283864b71057323c4e8fce42d0ff8c0a9b4ee3992e	PASS
ERR1725938	FASTP	FASTP/ERR1725938/ERR1725938.fastp.json	ERR1725938.fastp.json	138166	c0c98f6208db9ff7aa9689916497dc68ebccd31dfcefb9df33458099f71472d4	PASS
ERR1725938	Bowtie2	Bowtie2/ERR1725938/ERR1725938.bowtie2.log	ERR1725938.bowtie2.log	624	f02b4b15a0dc04b66a91a705fe7b2e08e6c71f721d288ee7d79752a7f50057ec	PASS
ERR1725938	CARD_RGI_BWT	CARD_RGI_BWT/ERR1725938/ERR1725938_rgi_bwt.gene_mapping_data.txt	ERR1725938_rgi_bwt.gene_mapping_data.txt	124639	627bb2343c056f900562d1f9f82447d59c360cb866d6c42c3d20ffc6fdb3cbb4	PASS
ERR1725938	CARD_RGI_BWT	CARD_RGI_BWT/ERR1725938/ERR1725938_rgi_bwt.overall_mapping_stats.txt	ERR1725938_rgi_bwt.overall_mapping_stats.txt	516	34109a396aa6eb27f6ec021def7d673b0631c50af358f1d13d8cc8df13aad344	PASS
ERR1725938	CARD_RGI_Main	CARD_RGI_Main/ERR1725938/ERR1725938_rgi_main_compact.tsv	ERR1725938_rgi_main_compact.tsv	30387	4294343808e55132e58de26fe4bc6663e7ebc65554c82e962e0dc0e9aa5e2ac0	PASS
ERR1725938	DIAMOND_CARD	DIAMOND_CARD/ERR1725938/ERR1725938_diamond_card_merged.tsv.gz	ERR1725938_diamond_card_merged.tsv.gz	1450009	d1bfa58be5397855c9fd326c76acec04bec12026d28d161927f4f662fd0e8ada	PASS
ERR1725938	geNomAD	geNomAD/ERR1725938/ERR1725938.contigs_plasmid_summary.tsv	ERR1725938.contigs_plasmid_summary.tsv	93376	33b0f759300a9c945fb30dc07c5ea55d938baadaa29cfd15013b768e396a5a54	PASS
ERR1725938	geNomAD	geNomAD/ERR1725938/ERR1725938.contigs_virus_summary.tsv	ERR1725938.contigs_virus_summary.tsv	244382	22922c82878cf0093123f571c00884b5a7766954b5389d60acc909ebe815f0d8	PASS
